id;nombre_completo;identificacion;tarjeta_profesional;anos_experiencia;tipo_documento_id;especialidad_id;franja_horaria_id
1;Outdoors;Borders;object-oriented;false;1;1;1
2;synthesize Refined Plastic Shirt;Credit Card Account Games;Practical Rubber Chips Cotton;false;2;2;2
3;Car compressing Alley;24/365 implement Metrics;Maryland;true;3;3;3
4;Refined Steel Sausages;metrics parse pink;hub Pennsylvania;false;4;4;4
5;Health communities quantifying;Dynamic;monitor artificial intelligence;false;5;5;5
6;impactful;bypass;Interactions;true;6;6;6
7;Fresh;connecting Uruguay;Ranch Senior Legacy;true;7;7;7
8;Table Fresh viral;help-desk;circuit programming reinvent;true;8;8;8
9;deposit;Baht;customized Cambridgeshire;false;9;9;9
10;withdrawal purple partnerships;Drive port;Bike incubate South Dakota;true;10;10;10
